"","vehicle1_lm","vehicle1_fm","vehicle10_lm","vehicle10_fm"
"1",1,1,1,1
"2",0.625665892939371,0.369070977613858,0.704094948399657,0.453713339155813
"3",0.2828215792096,0.191674580364648,0.428130771175686,0.31697312639119
"4",0.00338957651332992,0.221966290280538,0.034277224049376,0.122136993774622
"5",-0.258739001556547,0.151632061866363,-0.348739570338177,-0.136644944470602
"6",-0.328438969973395,0.159404139244667,-0.56209354651444,-0.355527950314533
"7",-0.335762333042843,0.0761049931359011,-0.684189311829314,-0.2603744945915
"8",-0.274085693233315,0.0988939189189496,-0.584122693940737,-0.253437325155059
"9",-0.173741244717391,0.0523556601031155,-0.401230215308037,-0.162687410909468
"10",-0.038216457646304,-0.077177146149403,-0.0940980434220828,0.0210010833078926
"11",0.199354256305031,-0.0244761805751326,0.23309194360001,0.095757982726056
"12",0.404624441551854,0.14319895311018,0.416581590517074,0.189402173238353
"13",0.565301338339916,0.272007866126404,0.583136030283517,0.228633651951011
"14",0.428968501099318,0.160592978593406,0.543344736910756,0.178125814077269
"15",0.119617587914827,0.0441076539211982,0.363299093133962,0.168053398958419
"16",-0.0436091430608298,0.104108235300797,0.129977792611955,0.11882646687202
"17",-0.163015576073482,0.161551540217866,-0.134217158803548,0.0254046494430294
"18",-0.281790533442877,0.199782435957089,-0.333708831068572,-0.208540279581547
"19",-0.208791294946156,0.250349552848878,-0.506913880446775,-0.232630441354598
