"","econ","HDD","month"
"1",140.314773590902,0.0320704100044989,1
"2",139.329953455892,0.0517923532374926,2
"3",138.345631587349,0.133599314946875,3
"4",140.144878557382,0.691888557387812,4
"5",142.789670900553,1.4945880735166,5
"6",149.176416193734,2.40588131883988,6
"7",148.239139045234,3.3250830044958,7
"8",148.547230836792,2.56487191464552,8
"9",144.989802526337,1.84517205154134,9
"10",141.851053384978,0.890421308599837,10
"11",139.857870899188,0.426712786386876,11
"12",140.517650162838,0.0543129689508122,12
