"","Month","weather_region","HDD","CDD","model","pred_econ","pred_base_econ"
"1",1,"clyde",1.02930107526882,0.581474014336918,"Nissan Leaf (24 kWh) 2013-2016",140.544714804328,137.071749081942
"2",2,"clyde",1.44717261904762,0.309350198412698,"Nissan Leaf (24 kWh) 2013-2016",140.950389631074,137.071749081942
"3",3,"clyde",2.15627240143369,0.106160394265233,"Nissan Leaf (24 kWh) 2013-2016",142.149801877471,137.071749081942
"4",4,"clyde",4.86025462962963,0.00157407407407407,"Nissan Leaf (24 kWh) 2013-2016",148.047959663062,137.071749081942
"5",5,"clyde",7.96680107526882,0,"Nissan Leaf (24 kWh) 2013-2016",155.058564815249,137.071749081942
"6",6,"clyde",10.7844675925926,0,"Nissan Leaf (24 kWh) 2013-2016",161.420070263444,137.071749081942
"7",7,"clyde",10.8285170250896,0,"Nissan Leaf (24 kWh) 2013-2016",161.519521601314,137.071749081942
"8",8,"clyde",8.19881272401434,0,"Nissan Leaf (24 kWh) 2013-2016",155.58238243471,137.071749081942
"9",9,"clyde",6.07618055555556,0,"Nissan Leaf (24 kWh) 2013-2016",150.790070774993,137.071749081942
"10",10,"clyde",4.08053315412186,0.0208557347670251,"Nissan Leaf (24 kWh) 2013-2016",146.325669770868,137.071749081942
"11",11,"clyde",2.0487962962963,0.0769907407407407,"Nissan Leaf (24 kWh) 2013-2016",141.849506633929,137.071749081942
"12",12,"clyde",1.27809139784946,0.219489247311828,"Nissan Leaf (24 kWh) 2013-2016",140.391070956458,137.071749081942
"13",1,"clyde",1.02930107526882,0.581474014336918,"Nissan Leaf (24 kWh) 2011-2012",153.206054872425,147.983950375477
"14",2,"clyde",1.44717261904762,0.309350198412698,"Nissan Leaf (24 kWh) 2011-2012",154.321838080062,147.983950375477
"15",3,"clyde",2.15627240143369,0.106160394265233,"Nissan Leaf (24 kWh) 2011-2012",156.726256280699,147.983950375477
"16",4,"clyde",4.86025462962963,0.00157407407407407,"Nissan Leaf (24 kWh) 2011-2012",167.219415737524,147.983950375477
"17",5,"clyde",7.96680107526882,0,"Nissan Leaf (24 kWh) 2011-2012",179.509118496428,147.983950375477
"18",6,"clyde",10.7844675925926,0,"Nissan Leaf (24 kWh) 2011-2012",190.658814569944,147.983950375477
"19",7,"clyde",10.8285170250896,0,"Nissan Leaf (24 kWh) 2011-2012",190.833121139417,147.983950375477
"20",8,"clyde",8.19881272401434,0,"Nissan Leaf (24 kWh) 2011-2012",180.427204207822,147.983950375477
"21",9,"clyde",6.07618055555556,0,"Nissan Leaf (24 kWh) 2011-2012",172.027805837336,147.983950375477
"22",10,"clyde",4.08053315412186,0.0208557347670251,"Nissan Leaf (24 kWh) 2011-2012",164.172109191857,147.983950375477
"23",11,"clyde",2.0487962962963,0.0769907407407407,"Nissan Leaf (24 kWh) 2011-2012",156.243321936362,147.983950375477
"24",12,"clyde",1.27809139784946,0.219489247311828,"Nissan Leaf (24 kWh) 2011-2012",153.475191890539,147.983950375477
