"","vehicle1_lm","vehicle1_fm","vehicle10_lm","vehicle10_fm"
"1",1,1,1,1
"2",0.625665892939372,0.369070666708702,0.704094948399656,0.453712416417606
"3",0.282821579209599,0.191674279108445,0.428130771175686,0.316972773163427
"4",0.00338957651332813,0.221966402497539,0.0342772240493761,0.122136711828613
"5",-0.258739001556548,0.151632147681644,-0.348739570338177,-0.136644462209839
"6",-0.328438969973395,0.159404090670394,-0.56209354651444,-0.355527230420166
"7",-0.335762333042842,0.0761050877450592,-0.684189311829314,-0.26037307682954
"8",-0.274085693233316,0.0988940254853461,-0.584122693940736,-0.253435724592402
"9",-0.173741244717392,0.0523557475761353,-0.401230215308037,-0.162686709152912
"10",-0.0382164576463058,-0.0771772961297036,-0.0940980434220829,0.0210017203654396
"11",0.19935425630503,-0.0244763612479192,0.23309194360001,0.0957578828248454
"12",0.404624441551855,0.143198812524263,0.416581590517073,0.189401275115685
"13",0.565301338339916,0.272007439028931,0.583136030283517,0.228632225812334
"14",0.428968501099317,0.160592440970281,0.543344736910755,0.17812460192051
"15",0.119617587914828,0.0441076048908209,0.363299093133961,0.168052591007022
"16",-0.0436091430608297,0.10410830124202,0.129977792611955,0.118826284747343
"17",-0.163015576073483,0.161551515302749,-0.134217158803547,0.0254049961861596
"18",-0.281790533442876,0.199782744357609,-0.333708831068572,-0.208539619960027
"19",-0.208791294946156,0.250349847061241,-0.506913880446775,-0.232629400868707
