"","(Intercept)","HDD"
"Nissan Leaf (24 kWh) 2013-2016",-24.7903101083593,-0.651025413743527
"Nissan Leaf (30 kWh)",-20.8339783412164,-0.512240648979734
"Nissan Leaf (24 kWh) 2011-2012",-13.8781088148245,1.04832069264687
"Nissan Leaf (40 kWh)",-14.9625984524843,-0.25716206933327
"Nissan e-NV200 (24 kWh)",7.69346045643879,0.0862428187306684
"Hyundai Ioniq (EV)",-38.1290982099172,-0.305732687014093
"BMW i3",-23.888283631229,-0.687049169141731
"Tesla Model 3",-12.5859840397353,-0.482457916328473
"Hyundai Kona (EV)",-24.2496126120752,-0.0294756017451761
"Renault Zoe",-11.3249140252449,-0.632382572295182
"Nissan Leaf (62 kWh)",0.0887736388658434,-0.386142461095223
"Kia Niro (EV)",-14.9686187612413,-0.32492792771285
"MG ZS EV",-3.57047947423158,0.398053180222535
"Tesla Model S",28.6460391764709,1.12252839461315
"Volkswagen e-Golf",-25.5749415838225,0.828046829115458
"Polestar 2",0.490997175484196,-1.26779164165678
"Tesla Model-X",66.9828971045978,0.455123599089012
"Kia Soul",-15.4859055087932,-0.139503814831793
"Mini Electric Hatch",-14.4165928437066,-0.334066737768585
"Renault Kangoo (van)",35.4417758384547,-0.983357751630527
"Jaguar I-PACE",52.0376017409825,2.00492599851588
"Kia EV6",-8.59236559143936,0.846182629933689
"Mercedes EQC 400 EV SUV",92.3398501318775,0.421660492327512
"Peugeot e-208",-16.469603264865,-0.217768221917841
