"","x"
"weather_regionupper_hutt",2.61158738918976
"weather_regionchristchurch",1.0861438072796
"weather_regiondunedin",12.7448207863934
"weather_regionhamilton",6.85586390328864
"weather_regionrotorua",3.78977631416941
"weather_regionnelson",1.48075464460176
"weather_regionwhangarei",5.85717302745027
"weather_regionclyde",4.03899069506877
"weather_regionpalmerston_north",11.909242532501
"weather_regionnapier",7.064749809619
"weather_regionstratford",4.20324148319358
"weather_regioninvercargill",13.5878499773922
"weather_regionturangi",25.6527532206108
"weather_regiongreymouth",16.1152088944611
