"","(Intercept)","HDD"
"Nissan Leaf (24 kWh) 2013-2016",-24.790294949797,-0.650961857454511
"Nissan Leaf (30 kWh)",-20.8339624037343,-0.512176346291185
"Nissan Leaf (24 kWh) 2011-2012",-13.8780823110875,1.04837213169113
"Nissan Leaf (40 kWh)",-14.9625805777255,-0.257096427115884
"Nissan e-NV200 (24 kWh)",7.69348700769545,0.0862947427415903
"Hyundai Ioniq (EV)",-38.1290768079846,-0.305649217744309
"BMW i3",-23.8882815576198,-0.686944644239704
"Tesla Model 3",-12.5859573297048,-0.482368348800208
"Hyundai Kona (EV)",-24.2495847452722,-0.029406583849277
"Renault Zoe",-11.3248838890621,-0.632278321315848
"Nissan Leaf (62 kWh)",0.0888111464925806,-0.386066319265126
"Kia Niro (EV)",-14.9685469638443,-0.324840473780835
"MG ZS EV",-3.5704423475786,0.398032496344992
"Tesla Model S",28.6461598999401,1.12231875874816
"Volkswagen e-Golf",-25.5749025032376,0.828008827773457
"Polestar 2",0.491046121004531,-1.26751662514005
"Tesla Model-X",66.9828794138238,0.454926010210978
"Kia Soul",-15.4857920382806,-0.139421673212827
"Mini Electric Hatch",-14.4164787823002,-0.333933725350405
"Renault Kangoo (van)",35.4419983494351,-0.983238284765847
"Jaguar I-PACE",52.0371335516935,2.00433813099045
"Kia EV6",-8.59245366884497,0.846012264802554
"Mercedes EQC 400 EV SUV",92.3390461627843,0.421250110418541
"Peugeot e-208",-16.4692407767888,-0.217654625395735
